playing ...
opening file 'c9.mid'...
146.3415 track2 60 0;
0.0 track2 62 1;
146.3415 track1 77 0;
0.0 track2 62 0;
0.0 track2 64 1;
146.3415 track1 72 1;
0.0 track2 64 0;
0.0 track2 60 1;
146.3415 track1 72 0;
0.0 track2 60 0;
0.0 track1 70 1;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track1 70 0;
0.0 track2 64 1;
0.0 track1 72 1;
146.3415 track2 64 0;
0.0 track3 57 0;
0.0 track1 72 0;
0.0 track2 65 1;
0.0 track3 53 1;
0.0 track1 69 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track1 69 0;
0.0 track2 64 0;
0.0 track1 74 1;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track1 74 0;
0.0 track2 69 1;
0.0 track1 72 1;
146.3415 track2 69 0;
0.0 track2 65 1;
146.3415 track1 72 0;
0.0 track2 65 0;
0.0 track1 71 1;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 69 1;
146.3415 track1 71 0;
0.0 track2 69 0;
0.0 track3 53 0;
0.0 track1 72 1;
0.0 track2 69 1;
0.0 track3 52 1;
234.1464 track2 69 0;
58.5366 track1 72 0;
0.0 track2 67 1;
0.0 track1 70 1;
146.3415 track1 70 0;
0.0 track1 69 1;
146.3415 track2 67 0;
0.0 track1 69 0;
0.0 track1 70 1;
146.3415 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 67 1;
146.3415 track3 52 0;
0.0 track1 70 0;
0.0 track2 67 0;
0.0 track3 53 1;
0.0 track1 69 1;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 72 1;
146.3415 track1 69 0;
0.0 track2 72 0;
0.0 track1 77 1;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 69 1;
146.3415 track3 53 0;
0.0 track1 77 0;
0.0 track2 69 0;
0.0 track3 55 1;
0.0 track1 74 1;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track3 55 0;
0.0 track2 64 1;
0.0 track3 57 1;
146.3415 track1 74 0;
0.0 track2 64 0;
0.0 track1 72 1;
0.0 track2 69 1;
146.3415 track1 72 0;
0.0 track2 69 0;
0.0 track1 70 1;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track1 70 0;
0.0 track2 65 1;
0.0 track1 69 1;
146.3415 track1 69 0;
0.0 track2 65 0;
0.0 track1 70 1;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track1 70 0;
0.0 track2 65 1;
0.0 track1 69 1;
146.3415 track1 69 0;
0.0 track2 65 0;
0.0 track1 67 1;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track1 67 0;
0.0 track2 62 1;
0.0 track1 65 1;
146.3415 track1 65 0;
0.0 track2 62 0;
0.0 track1 64 1;
0.0 track2 60 1;
146.3415 track1 64 0;
0.0 track1 65 1;
146.3415 track1 65 0;
0.0 track3 57 0;
0.0 track1 67 1;
0.0 track3 58 1;
146.3415 track1 67 0;
0.0 track1 69 1;
146.3415 track2 60 0;
0.0 track3 58 0;
0.0 track1 69 0;
0.0 track3 57 1;
0.0 track1 70 1;
146.3415 track2 60 1;
146.3415 track2 60 0;
0.0 track3 57 0;
0.0 track2 62 1;
0.0 track3 55 1;
146.3415 track2 62 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track3 55 0;
0.0 track2 65 1;
0.0 track3 53 1;
146.3415 track1 70 0;
0.0 track1 69 1;
146.3415 track3 53 0;
0.0 track1 69 0;
0.0 track3 62 1;
0.0 track1 71 1;
146.3415 track1 71 0;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track3 62 0;
0.0 track1 74 1;
0.0 track3 60 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track3 60 0;
0.0 track2 66 1;
0.0 track3 59 1;
146.3415 track2 66 0;
0.0 track2 68 1;
146.3415 track3 59 0;
0.0 track2 68 0;
0.0 track3 57 1;
0.0 track2 69 1;
146.3415 track1 74 0;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track3 57 0;
0.0 track1 74 1;
0.0 track3 65 1;
146.3415 track1 74 0;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track3 65 0;
0.0 track1 77 1;
0.0 track3 64 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track3 64 0;
0.0 track2 69 1;
0.0 track3 62 1;
146.3415 track2 69 0;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track3 62 0;
0.0 track2 72 1;
0.0 track3 60 1;
146.3415 track1 77 0;
0.0 track1 77 1;
146.3415 track1 77 0;
0.0 track2 72 0;
0.0 track1 76 1;
0.0 track2 64 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track2 64 0;
0.0 track3 60 0;
0.0 track1 76 1;
0.0 track2 66 1;
0.0 track3 59 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track2 66 0;
0.0 track1 72 1;
0.0 track2 68 1;
146.3415 track1 72 0;
0.0 track1 71 1;
146.3415 track3 59 0;
0.0 track1 71 0;
0.0 track2 68 0;
0.0 track3 57 1;
0.0 track1 72 1;
0.0 track2 69 1;
146.3415 track1 72 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track2 69 0;
0.0 track1 72 1;
0.0 track2 60 1;
146.3415 track1 72 0;
0.0 track1 70 1;
146.3415 track1 70 0;
0.0 track2 60 0;
0.0 track3 57 0;
0.0 track1 72 1;
0.0 track2 62 1;
0.0 track3 55 1;
146.3415 track1 72 0;
0.0 track1 70 1;
146.3415 track2 62 0;
0.0 track1 70 0;
0.0 track2 64 1;
0.0 track1 69 1;
146.3415 track1 69 0;
0.0 track1 67 1;
146.3415 track3 55 0;
0.0 track1 67 0;
0.0 track2 64 0;
0.0 track3 53 1;
0.0 track1 69 1;
0.0 track2 65 1;
146.3415 track3 53 0;
0.0 track3 58 1;
146.3415 track3 58 0;
0.0 track1 69 0;
0.0 track2 65 0;
0.0 track3 57 1;
0.0 track1 73 1;
0.0 track2 67 1;
146.3415 track3 57 0;
0.0 track3 55 1;
146.3415 track3 55 0;
0.0 track1 73 0;
0.0 track2 67 0;
0.0 track3 57 1;
0.0 track1 74 1;
0.0 track2 65 1;
146.3415 track3 57 0;
0.0 track3 55 1;
146.3415 track1 74 0;
0.0 track2 65 0;
0.0 track3 55 0;
0.0 track1 76 1;
0.0 track2 61 1;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track3 52 1;
146.3415 track1 76 0;
0.0 track2 61 0;
0.0 track3 52 0;
0.0 track1 69 1;
0.0 track2 61 1;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track1 69 0;
0.0 track3 55 1;
0.0 track1 70 1;
146.3415 track2 61 0;
0.0 track3 55 0;
0.0 track1 70 0;
0.0 track2 62 1;
0.0 track3 53 1;
0.0 track1 69 1;
146.3415 track3 53 0;
0.0 track1 69 0;
0.0 track3 52 1;
0.0 track1 67 1;
128.0488125 track2 62 0;
18.2926875 track1 67 0;
0.0 track3 52 0;
0.0 track1 69 1;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track1 69 0;
0.0 track3 52 1;
0.0 track1 67 1;
146.3415 track3 52 0;
0.0 track1 67 0;
0.0 track3 50 1;
0.0 track1 65 1;
146.3415 track3 50 0;
0.0 track1 65 0;
0.0 track3 49 1;
0.0 track1 64 1;
146.3415 track1 64 0;
0.0 track2 62 1;
0.0 track3 49 0;
0.0 track1 65 1;
0.0 track3 50 1;
146.3415 track1 65 0;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track4 50 1;
0.0 track1 70 1;
146.3415 track1 70 0;
0.0 track1 69 1;
146.3415 track4 50 0;
0.0 track1 69 0;
0.0 track3 50 0;
0.0 track4 62 1;
0.0 track1 70 1;
146.3415 track1 70 0;
0.0 track1 69 1;
146.3415 track1 69 0;
0.0 track1 67 1;
146.3415 track1 67 0;
0.0 track1 65 1;
146.3415 track2 62 0;
0.0 track1 65 0;
0.0 track2 69 1;
0.0 track1 64 1;
292.683 track4 62 0;
0.0 track1 64 0;
0.0 track4 61 1;
0.0 track1 76 1;
146.3415 track4 61 0;
0.0 track4 59 1;
146.3415 track4 59 0;
0.0 track1 76 0;
0.0 track4 57 1;
146.3415 track1 76 1;
0.0 track4 57 0;
0.0 track4 55 1;
146.3415 track1 76 0;
0.0 track4 55 0;
0.0 track1 74 1;
0.0 track4 53 1;
146.3415 track4 53 0;
0.0 track1 74 0;
0.0 track4 52 1;
0.0 track1 73 1;
146.3415 track4 52 0;
0.0 track1 73 0;
0.0 track2 69 0;
0.0 track4 50 1;
0.0 track1 74 1;
0.0 track2 65 1;
146.3415 track4 50 0;
0.0 track4 49 1;
146.3415 track1 74 0;
0.0 track4 49 0;
0.0 track1 69 1;
0.0 track4 50 1;
146.3415 track4 50 0;
0.0 track4 52 1;
146.3415 track4 52 0;
0.0 track1 69 0;
0.0 track4 53 1;
0.0 track1 74 1;
146.3415 track4 53 0;
0.0 track4 50 1;
146.3415 track1 74 0;
0.0 track4 50 0;
0.0 track1 72 1;
0.0 track4 52 1;
146.3415 track4 52 0;
0.0 track4 53 1;
146.3415 track1 72 0;
0.0 track2 65 0;
0.0 track4 53 0;
0.0 track1 70 1;
0.0 track2 62 1;
0.0 track4 55 1;
146.3415 track4 55 0;
0.0 track4 54 1;
146.3415 track4 54 0;
0.0 track1 70 0;
0.0 track4 55 1;
0.0 track1 69 1;
146.3415 track4 55 0;
0.0 track4 57 1;
146.3415 track4 57 0;
0.0 track1 69 0;
0.0 track4 58 1;
0.0 track1 67 1;
146.3415 track4 58 0;
0.0 track4 55 1;
146.3415 track1 67 0;
0.0 track4 55 0;
0.0 track1 65 1;
0.0 track4 57 1;
146.3415 track4 57 0;
0.0 track4 58 1;
146.3415 track1 65 0;
0.0 track2 62 0;
0.0 track4 58 0;
0.0 track1 64 1;
0.0 track2 61 1;
0.0 track4 58 1;
146.3415 track1 64 0;
0.0 track1 62 1;
128.0488125 track4 58 0;
18.2926875 track4 57 1;
0.0 track1 62 0;
0.0 track1 64 1;
146.3415 track1 64 0;
0.0 track1 65 1;
146.3415 track4 57 0;
0.0 track1 65 0;
0.0 track1 67 1;
146.3415 track4 57 1;
0.0 track1 67 0;
0.0 track1 64 1;
146.3415 track4 57 0;
0.0 track1 64 0;
0.0 track4 55 1;
0.0 track1 69 1;
146.3415 track4 55 0;
0.0 track4 57 1;
146.3415 track4 57 0;
0.0 track2 61 0;
0.0 track4 58 1;
0.0 track2 62 1;
146.3415 track1 69 0;
0.0 track4 58 0;
0.0 track1 65 1;
0.0 track4 62 1;
146.3415 track4 62 0;
0.0 track1 65 0;
0.0 track4 60 1;
0.0 track1 70 1;
146.3415 track4 60 0;
0.0 track4 58 1;
146.3415 track2 62 0;
0.0 track4 58 0;
0.0 track2 64 1;
0.0 track4 60 1;
146.3415 track4 60 0;
0.0 track1 70 0;
0.0 track4 58 1;
0.0 track1 67 1;
146.3415 track4 58 0;
0.0 track1 67 0;
0.0 track4 57 1;
0.0 track1 72 1;
146.3415 track4 57 0;
0.0 track1 72 0;
0.0 track4 55 1;
0.0 track1 70 1;
146.3415 track2 64 0;
0.0 track4 55 0;
0.0 track1 70 0;
0.0 track2 65 1;
0.0 track4 53 1;
0.0 track1 69 1;
146.3415 track4 53 0;
0.0 track1 69 0;
0.0 track4 58 1;
0.0 track1 74 1;
146.3415 track4 58 0;
0.0 track1 74 0;
0.0 track4 57 1;
0.0 track1 72 1;
146.3415 track4 57 0;
0.0 track1 72 0;
0.0 track4 55 1;
0.0 track1 70 1;
146.3415 track4 55 0;
0.0 track1 70 0;
0.0 track4 57 1;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track4 57 0;
0.0 track1 69 1;
0.0 track4 55 1;
146.3415 track4 55 0;
0.0 track1 69 0;
0.0 track4 53 1;
0.0 track1 72 1;
146.3415 track4 53 0;
0.0 track4 52 1;
146.3415 track4 52 0;
0.0 track4 50 1;
146.3415 track1 72 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track2 65 0;
0.0 track1 72 1;
0.0 track2 67 1;
146.3415 track1 72 0;
0.0 track1 70 1;
109.756125 track4 50 0;
36.585375 track1 70 0;
0.0 track2 67 0;
0.0 track1 72 1;
0.0 track2 65 1;
146.3415 track1 72 0;
0.0 track1 70 1;
146.3415 track2 65 0;
0.0 track1 70 0;
0.0 track2 64 1;
0.0 track1 69 1;
146.3415 track1 69 0;
0.0 track1 67 1;
146.3415 track1 67 0;
0.0 track2 64 0;
0.0 track1 65 1;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 64 1;
146.3415 track4 50 1;
0.0 track2 64 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 61 1;
146.3415 track4 50 0;
0.0 track2 61 0;
0.0 track4 52 1;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 60 1;
146.3415 track2 60 0;
0.0 track4 52 0;
0.0 track2 59 1;
0.0 track4 53 1;
146.3415 track2 59 0;
0.0 track2 57 1;
146.3415 track2 57 0;
0.0 track4 53 0;
0.0 track2 59 1;
0.0 track4 55 1;
146.3415 track1 65 0;
0.0 track1 69 1;
146.3415 track4 55 0;
0.0 track1 69 0;
0.0 track4 55 1;
0.0 track1 67 1;
146.3415 track1 67 0;
0.0 track1 65 1;
146.3415 track4 55 0;
0.0 track1 65 0;
0.0 track4 52 1;
0.0 track1 67 1;
146.3415 track1 67 0;
0.0 track1 65 1;
146.3415 track1 65 0;
0.0 track4 52 0;
0.0 track1 64 1;
0.0 track4 55 1;
146.3415 track1 64 0;
0.0 track1 62 1;
146.3415 track4 55 0;
0.0 track1 62 0;
0.0 track4 48 1;
0.0 track1 64 1;
146.3415 track2 59 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track4 48 0;
0.0 track2 60 1;
0.0 track4 48 1;
146.3415 track2 60 0;
0.0 track2 59 1;
146.3415 track2 59 0;
0.0 track4 48 0;
0.0 track2 60 1;
0.0 track4 50 1;
146.3415 track2 60 0;
0.0 track2 59 1;
146.3415 track2 59 0;
0.0 track4 50 0;
0.0 track2 57 1;
0.0 track4 52 1;
146.3415 track2 57 0;
0.0 track2 56 1;
146.3415 track4 52 0;
0.0 track2 56 0;
0.0 track4 53 1;
0.0 track2 57 1;
146.3415 track1 64 0;
0.0 track1 79 1;
128.0488125 track2 57 0;
18.2926875 track4 53 0;
0.0 track1 79 0;
0.0 track4 57 1;
0.0 track1 77 1;
146.3415 track1 77 0;
0.0 track1 76 1;
146.3415 track4 57 0;
0.0 track1 76 0;
0.0 track4 50 1;
0.0 track1 77 1;
146.3415 track1 77 0;
0.0 track1 76 1;
146.3415 track4 50 0;
0.0 track1 76 0;
0.0 track4 53 1;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track1 72 1;
146.3415 track4 53 0;
0.0 track1 72 0;
0.0 track4 47 1;
0.0 track1 74 1;
146.3415 track2 72 1;
146.3415 track4 47 0;
0.0 track2 72 0;
0.0 track4 50 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track4 50 0;
0.0 track2 69 0;
0.0 track4 44 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track4 44 0;
0.0 track2 69 0;
0.0 track4 47 1;
0.0 track2 68 1;
146.3415 track2 68 0;
0.0 track2 66 1;
146.3415 track4 47 0;
0.0 track2 66 0;
0.0 track4 52 1;
0.0 track2 68 1;
146.3415 track1 74 0;
0.0 track1 77 1;
128.0488125 track2 68 0;
18.2926875 track4 52 0;
0.0 track1 77 0;
0.0 track4 52 1;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track4 52 0;
0.0 track1 74 0;
0.0 track4 54 1;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track4 54 0;
0.0 track1 74 0;
0.0 track4 56 1;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track1 71 1;
146.3415 track1 71 0;
0.0 track3 57 1;
0.0 track4 56 0;
0.0 track1 72 1;
0.0 track4 57 1;
146.3415 track1 72 0;
0.0 track1 76 1;
146.3415 track2 64 1;
0.0 track1 76 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track2 64 0;
0.0 track1 74 1;
0.0 track2 76 1;
146.3415 track1 74 0;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track1 71 1;
146.3415 track1 71 0;
0.0 track1 69 1;
29.2683 track3 57 0;
117.0732 track3 64 1;
0.0 track1 69 0;
0.0 track1 71 1;
146.3415 track4 57 0;
0.0 track4 56 1;
146.3415 track4 56 0;
0.0 track1 71 0;
0.0 track2 76 0;
0.0 track4 57 1;
0.0 track2 74 1;
146.3415 track2 74 0;
0.0 track4 57 0;
0.0 track2 72 1;
0.0 track4 54 1;
146.3415 track4 54 0;
0.0 track2 72 0;
0.0 track4 56 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track4 56 0;
0.0 track2 69 0;
0.0 track4 59 1;
0.0 track2 68 1;
146.3415 track2 68 0;
0.0 track2 66 1;
146.3415 track4 59 0;
0.0 track2 66 0;
0.0 track3 64 0;
0.0 track4 59 1;
0.0 track2 64 1;
0.0 track3 60 1;
146.3415 track2 64 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track4 59 0;
0.0 track1 64 1;
0.0 track2 64 1;
0.0 track4 57 1;
146.3415 track2 64 0;
0.0 track2 66 1;
128.0488125 track4 57 0;
18.2926875 track1 64 0;
0.0 track2 66 0;
0.0 track1 76 1;
0.0 track2 68 1;
146.3415 track2 68 0;
0.0 track2 64 1;
146.3415 track4 52 1;
0.0 track2 64 0;
0.0 track2 66 1;
146.3415 track2 66 0;
0.0 track2 68 1;
146.3415 track4 52 0;
0.0 track2 68 0;
0.0 track3 60 0;
0.0 track4 53 1;
0.0 track2 69 1;
0.0 track3 57 1;
146.3415 track2 69 0;
0.0 track2 68 1;
146.3415 track1 76 0;
0.0 track2 68 0;
0.0 track1 75 1;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 71 1;
128.0488125 track1 75 0;
18.2926875 track2 71 0;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track2 69 1;
146.3415 track1 75 1;
0.0 track2 69 0;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 72 1;
146.3415 track3 57 0;
0.0 track4 53 0;
0.0 track1 75 0;
0.0 track2 72 0;
0.0 track3 56 1;
0.0 track4 52 1;
0.0 track1 76 1;
0.0 track2 72 1;
146.3415 track1 76 0;
0.0 track1 77 1;
146.3415 track2 72 0;
0.0 track1 77 0;
0.0 track2 71 1;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track2 71 0;
0.0 track1 74 0;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track2 71 1;
0.0 track1 74 1;
146.3415 track2 71 0;
0.0 track1 74 0;
0.0 track2 69 1;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track2 69 0;
0.0 track1 71 1;
0.0 track2 71 1;
146.3415 track4 52 0;
0.0 track1 71 0;
0.0 track2 71 0;
0.0 track3 56 0;
0.0 track1 69 1;
0.0 track2 72 1;
0.0 track3 57 1;
146.3415 track2 72 0;
0.0 track2 76 1;
146.3415 track1 69 0;
0.0 track2 76 0;
0.0 track1 81 1;
0.0 track2 74 1;
146.3415 track2 74 0;
0.0 track2 72 1;
146.3415 track1 81 0;
0.0 track2 72 0;
0.0 track3 57 0;
0.0 track1 74 1;
0.0 track2 74 1;
0.0 track3 59 1;
146.3415 track2 74 0;
0.0 track2 72 1;
146.3415 track1 74 0;
0.0 track2 72 0;
0.0 track1 77 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track3 59 0;
0.0 track2 69 0;
0.0 track3 60 1;
0.0 track2 67 1;
146.3415 track1 77 0;
0.0 track2 67 0;
0.0 track1 76 1;
0.0 track2 72 1;
146.3415 track1 76 0;
0.0 track2 72 0;
0.0 track1 74 1;
0.0 track2 71 1;
146.3415 track1 74 0;
0.0 track2 71 0;
0.0 track1 72 1;
0.0 track2 69 1;
146.3415 track1 72 0;
0.0 track2 69 0;
0.0 track1 74 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track1 74 0;
0.0 track2 69 1;
0.0 track1 72 1;
146.3415 track2 69 0;
0.0 track1 72 0;
0.0 track2 68 1;
0.0 track1 71 1;
146.3415 track1 71 0;
0.0 track2 68 0;
0.0 track1 69 1;
0.0 track2 66 1;
146.3415 track2 66 0;
0.0 track1 69 0;
0.0 track2 64 1;
0.0 track1 68 1;
146.3415 track4 50 1;
146.3415 track2 64 0;
0.0 track3 60 0;
0.0 track4 50 0;
0.0 track2 65 1;
0.0 track3 62 1;
0.0 track4 48 1;
146.3415 track4 48 0;
0.0 track4 47 1;
146.3415 track2 65 0;
0.0 track3 62 0;
0.0 track4 47 0;
0.0 track1 68 0;
0.0 track2 64 1;
0.0 track3 60 1;
0.0 track4 48 1;
0.0 track1 69 1;
146.3415 track4 48 0;
0.0 track4 47 1;
146.3415 track3 60 0;
0.0 track4 47 0;
0.0 track1 69 0;
0.0 track3 59 1;
0.0 track4 45 1;
0.0 track1 71 1;
146.3415 track4 45 0;
0.0 track4 44 1;
146.3415 track3 59 0;
0.0 track4 44 0;
0.0 track1 71 0;
0.0 track3 57 1;
0.0 track4 45 1;
0.0 track1 72 1;
146.3415 track3 57 0;
0.0 track3 56 1;
128.0488125 track4 45 0;
18.2926875 track2 64 0;
0.0 track3 56 0;
0.0 track2 64 1;
0.0 track3 57 1;
146.3415 track3 57 0;
0.0 track3 59 1;
146.3415 track3 59 0;
0.0 track2 64 0;
0.0 track3 60 1;
0.0 track2 69 1;
146.3415 track3 60 0;
0.0 track3 57 1;
146.3415 track2 69 0;
0.0 track3 57 0;
0.0 track2 67 1;
0.0 track3 59 1;
146.3415 track3 59 0;
0.0 track3 60 1;
146.3415 track2 67 0;
0.0 track3 60 0;
0.0 track2 66 1;
0.0 track3 62 1;
146.3415 track3 62 0;
0.0 track3 61 1;
128.0488125 track2 66 0;
18.2926875 track3 61 0;
0.0 track1 72 0;
0.0 track3 62 1;
0.0 track1 69 1;
146.3415 track3 62 0;
0.0 track3 64 1;
146.3415 track3 64 0;
0.0 track1 69 0;
0.0 track3 66 1;
0.0 track1 74 1;
146.3415 track3 66 0;
0.0 track3 62 1;
146.3415 track3 62 0;
0.0 track1 74 0;
0.0 track3 64 1;
0.0 track1 72 1;
146.3415 track3 64 0;
0.0 track3 66 1;
146.3415 track3 66 0;
0.0 track1 72 0;
0.0 track3 55 1;
0.0 track1 71 1;
146.3415 track3 55 0;
0.0 track3 54 1;
146.3415 track2 62 1;
0.0 track3 54 0;
0.0 track3 55 1;
146.3415 track3 55 0;
0.0 track3 57 1;
146.3415 track2 62 0;
0.0 track3 57 0;
0.0 track2 67 1;
0.0 track3 59 1;
146.3415 track3 59 0;
0.0 track3 55 1;
146.3415 track3 55 0;
0.0 track2 67 0;
0.0 track3 57 1;
0.0 track2 65 1;
146.3415 track3 57 0;
0.0 track3 59 1;
146.3415 track3 59 0;
0.0 track2 65 0;
0.0 track3 60 1;
0.0 track2 64 1;
146.3415 track3 60 0;
0.0 track3 59 1;
128.0488125 track2 64 0;
18.2926875 track3 59 0;
0.0 track1 71 0;
0.0 track3 60 1;
0.0 track1 67 1;
146.3415 track3 60 0;
0.0 track3 62 1;
146.3415 track3 62 0;
0.0 track1 67 0;
0.0 track3 64 1;
0.0 track1 72 1;
146.3415 track3 64 0;
0.0 track3 60 1;
146.3415 track3 60 0;
0.0 track1 72 0;
0.0 track3 62 1;
0.0 track1 70 1;
146.3415 track3 62 0;
0.0 track3 64 1;
146.3415 track1 70 0;
0.0 track3 64 0;
0.0 track1 69 1;
0.0 track3 53 1;
146.3415 track2 76 1;
146.3415 track2 76 0;
0.0 track3 53 0;
0.0 track2 74 1;
0.0 track3 52 1;
146.3415 track2 74 0;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track3 52 0;
0.0 track2 74 1;
0.0 track3 54 1;
146.3415 track2 74 0;
0.0 track2 72 1;
146.3415 track3 54 0;
0.0 track2 72 0;
0.0 track3 50 1;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track1 69 0;
0.0 track2 69 0;
0.0 track3 50 0;
0.0 track1 76 1;
0.0 track2 71 1;
0.0 track3 55 1;
146.3415 track2 71 0;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track3 55 0;
0.0 track2 71 1;
0.0 track3 54 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track3 54 0;
0.0 track2 71 1;
0.0 track3 56 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track3 56 0;
0.0 track2 68 1;
0.0 track3 52 1;
146.3415 track2 68 0;
0.0 track2 66 1;
146.3415 track2 66 0;
0.0 track3 52 0;
0.0 track1 76 0;
0.0 track2 64 1;
0.0 track3 57 1;
0.0 track1 72 1;
146.3415 track1 72 0;
0.0 track1 81 1;
146.3415 track1 81 0;
0.0 track3 57 0;
0.0 track1 79 1;
0.0 track3 58 1;
146.3415 track3 58 0;
0.0 track1 79 0;
0.0 track3 57 1;
0.0 track1 77 1;
146.3415 track3 57 0;
0.0 track1 77 0;
0.0 track3 58 1;
0.0 track1 79 1;
146.3415 track1 79 0;
0.0 track1 77 1;
146.3415 track3 58 0;
0.0 track1 77 0;
0.0 track3 55 1;
0.0 track1 76 1;
146.3415 track1 76 0;
0.0 track1 74 1;
146.3415 track1 74 0;
0.0 track2 64 0;
0.0 track1 73 1;
0.0 track2 69 1;
146.3415 track1 73 0;
0.0 track3 55 0;
0.0 track1 76 1;
0.0 track3 67 1;
146.3415 track3 67 0;
0.0 track1 76 0;
0.0 track3 65 1;
0.0 track1 74 1;
146.3415 track3 65 0;
0.0 track1 74 0;
0.0 track3 64 1;
0.0 track1 73 1;
146.3415 track1 73 0;
0.0 track3 64 0;
0.0 track1 74 1;
0.0 track3 65 1;
146.3415 track1 74 0;
0.0 track3 65 0;
0.0 track1 73 1;
0.0 track3 64 1;
146.3415 track3 64 0;
0.0 track1 73 0;
0.0 track3 62 1;
0.0 track1 71 1;
146.3415 track1 71 0;
0.0 track3 62 0;
0.0 track1 69 1;
0.0 track3 61 1;
146.3415 track3 61 0;
0.0 track4 50 1;
0.0 track1 69 0;
0.0 track3 62 1;
0.0 track1 74 1;
146.3415 track3 62 0;
0.0 track3 52 1;
146.3415 track3 52 0;
0.0 track1 74 0;
0.0 track2 69 0;
0.0 track3 53 1;
0.0 track1 69 1;
0.0 track2 74 1;
146.3415 track3 53 0;
0.0 track2 74 0;
0.0 track3 55 1;
0.0 track2 76 1;
146.3415 track3 55 0;
0.0 track1 69 0;
0.0 track2 76 0;
0.0 track3 57 1;
0.0 track1 81 1;
0.0 track2 77 1;
146.3415 track3 57 0;
0.0 track3 55 1;
146.3415 track2 77 0;
0.0 track3 55 0;
0.0 track2 76 1;
0.0 track3 57 1;
146.3415 track2 76 0;
0.0 track3 57 0;
0.0 track2 74 1;
0.0 track3 59 1;
146.3415 track4 50 0;
